Date;Temperature_Chile
22/01/2020;31
23/01/2020;31
24/01/2020;33
25/01/2020;35
26/01/2020;34
27/01/2020;34
28/01/2020;33
29/01/2020;30
30/01/2020;33
31/01/2020;33
01/02/2020;33
02/02/2020;33
03/02/2020;32
04/02/2020;30
05/02/2020;28
06/02/2020;29
07/02/2020;33
08/02/2020;34
09/02/2020;33
10/02/2020;32
11/02/2020;32
12/02/2020;30
13/02/2020;30
14/02/2020;33
15/02/2020;33
16/02/2020;32
17/02/2020;29
18/02/2020;35
19/02/2020;34
20/02/2020;34
21/02/2020;28
22/02/2020;28
23/02/2020;28
24/02/2020;26
25/02/2020;31
26/02/2020;34
27/02/2020;32
28/02/2020;33
29/02/2020;33
01/03/2020;29
02/03/2020;31
03/03/2020;32
04/03/2020;33
05/03/2020;36
06/03/2020;32
07/03/2020;32
08/03/2020;33
09/03/2020;34
10/03/2020;33
11/03/2020;33
12/03/2020;30
13/03/2020;29
14/03/2020;31
15/03/2020;32
16/03/2020;27
17/03/2020;28
18/03/2020;29
19/03/2020;30
20/03/2020;28
21/03/2020;22
22/03/2020;27
23/03/2020;31
24/03/2020;30
25/03/2020;29
26/03/2020;28
27/03/2020;22
28/03/2020;23
29/03/2020;28
30/03/2020;31
31/03/2020;30
01/04/2020;29
02/04/2020;33
03/04/2020;28
04/04/2020;26
05/04/2020;27
06/04/2020;30
07/04/2020;32
08/04/2020;26
09/04/2020;23
10/04/2020;22
11/04/2020;21
12/04/2020;19
13/04/2020;25
14/04/2020;27
15/04/2020;24
16/04/2020;27
17/04/2020;28
18/04/2020;27
19/04/2020;27
20/04/2020;23
21/04/2020;24
22/04/2020;23
23/04/2020;23
24/04/2020;23
25/04/2020;22
26/04/2020;22
27/04/2020;21
28/04/2020;25
29/04/2020;25
30/04/2020;26
