Date;Temperature_Colombia
22/01/2020;18
23/01/2020;19
24/01/2020;20
25/01/2020;23
26/01/2020;20
27/01/2020;22
28/01/2020;21
29/01/2020;20
30/01/2020;22
31/01/2020;21
01/02/2020;20
02/02/2020;21
03/02/2020;22
04/02/2020;24
05/02/2020;30
06/02/2020;23
07/02/2020;22
08/02/2020;21
09/02/2020;22
10/02/2020;22
11/02/2020;23
12/02/2020;23
13/02/2020;24
14/02/2020;20
15/02/2020;21
16/02/2020;22
17/02/2020;21
18/02/2020;21
19/02/2020;20
20/02/2020;23
21/02/2020;22
22/02/2020;22
23/02/2020;18
24/02/2020;20
25/02/2020;23
26/02/2020;21
27/02/2020;22
28/02/2020;22
29/02/2020;22
01/03/2020;22
02/03/2020;22
03/03/2020;22
04/03/2020;24
05/03/2020;25
06/03/2020;24
07/03/2020;23
08/03/2020;22
09/03/2020;21
10/03/2020;23
11/03/2020;22
12/03/2020;20
13/03/2020;22
14/03/2020;19
15/03/2020;20
16/03/2020;19
17/03/2020;23
18/03/2020;21
19/03/2020;22
20/03/2020;17
21/03/2020;20
22/03/2020;21
23/03/2020;19
24/03/2020;18
25/03/2020;21
26/03/2020;21
27/03/2020;22
28/03/2020;22
29/03/2020;22
30/03/2020;20
31/03/2020;20
01/04/2020;19
02/04/2020;19
03/04/2020;22
04/04/2020;20
05/04/2020;21
06/04/2020;21
07/04/2020;21
08/04/2020;22
09/04/2020;21
10/04/2020;17
11/04/2020;21
12/04/2020;21
13/04/2020;23
14/04/2020;21
15/04/2020;20
16/04/2020;19
17/04/2020;20
18/04/2020;20
19/04/2020;19
20/04/2020;19
21/04/2020;19
22/04/2020;18
23/04/2020;19
24/04/2020;17
25/04/2020;18
26/04/2020;18
27/04/2020;18
28/04/2020;17
29/04/2020;17
30/04/2020;16
