"","Country.Region","Total_confirmed","Total_deaths","Total_Recovered","HDI_Rank_2018","Year_2018","Country_Code","Population_2018","Cases_million","Recovered_percentage","Measles_2018","Expenditure_2016","Avg_IQ_temperature"
"1","Afghanistan",607,18,32,170,0.496,"AFG",37172386,16.3293257527241,5.27182866556837,36,10.2,5.30788095238095
"2","Albania",446,23,217,69,0.791,"ALB",2866376,155.597172178388,48.6547085201794,6,6.7,5.695
"3","Algeria",1914,293,591,82,0.759,"DZA",42228429,45.3249160654307,30.8777429467085,20,6.6,15.9028333333333
"4","Andorra",638,29,128,36,0.857,"AND",77006,8285.06869594577,20.0626959247649,1,10.4,5.95619047619048
"5","Angola",19,2,4,149,0.574,"AGO",30809762,0.616687658930958,21.0526315789474,50,2.9,23.2507619047619
"6","Argentina",2142,90,468,48,0.83,"ARG",44494502,48.1407792809997,21.8487394957983,6,7.5,20.7570476190476
"7","Armenia",1013,13,197,81,0.76,"ARM",2951776,343.183222575155,19.4471865745311,5,9.9,-0.312023809523809
"8","Australia",6315,60,1806,6,0.938,"AUS",24992369,252.677127166296,28.5985748218527,5,9.3,27.4010714285714
"9","Austria",13945,350,6987,20,0.914,"AUT",8847037,1576.23394137495,50.1039799211187,6,10.4,-0.644880952380952
"10","Azerbaijan",1098,11,250,87,0.754,"AZE",9942334,110.436845111017,22.7686703096539,4,6.9,3.19878571428571
"11","Bahamas",46,8,5,60,0.805,"BHS",385640,119.282232133596,10.8695652173913,11,6.4,22.8475
"12","Bahrain",1136,6,558,45,0.838,"BHR",1569439,723.825519819502,49.1197183098592,1,4.9,18.7298333333333
"13","Bangladesh",621,34,39,135,0.614,"BGD",161356039,3.84863190648848,6.28019323671498,3,2.4,21.7674285714286
"14","Barbados",71,4,11,56,0.813,"BRB",286641,247.69659609058,15.4929577464789,15,7,26.1437142857143
"15","Belarus",2578,26,203,50,0.817,"BLR",9485386,271.786514539313,7.87432117920869,3,6.3,-2.96538095238095
"16","Belgium",29647,3600,6463,17,0.919,"BEL",11422068,2595.58952021648,21.799844840962,4,10,4.30030952380952
"17","Belize",14,2,0,103,0.72,"BLZ",383071,36.5467498192241,0,3,6.1,24.1116904761905
"18","Benin",35,1,5,163,0.52,"BEN",11485048,3.04744046346171,14.2857142857143,29,3.9,29.1882142857143
"19","Bhutan",5,0,2,134,0.617,"BTN",754394,6.62783638257992,40,3,3.5,7.20978571428571
"20","Bolivia",300,24,2,114,0.703,"BOL",11353142,26.4244030419068,0.666666666666667,11,6.9,22.7387142857143
"21","Botswana",13,1,0,94,0.728,"BWA",2254126,5.76720201089025,0,3,5.5,25.719380952381
"22","Brazil",22192,1223,173,79,0.761,"BRA",209469333,105.943909221308,0.779560201874549,16,11.8,25.9487619047619
"23","Bulgaria",675,29,68,52,0.816,"BGR",7024216,96.0961337179836,10.0740740740741,7,8.2,2.7042619047619
"24","Burkina Faso",497,27,161,182,0.434,"BFA",19751535,25.1626012864317,32.3943661971831,12,6.8,28.5443571428571
"25","Burundi",5,0,0,185,0.423,"BDI",11175378,0.447412159123387,0,12,6.2,20.6998333333333
"26","Cambodia",122,0,77,146,0.581,"KHM",16249798,7.50778563524297,63.1147540983607,16,6.1,27.1266666666667
"27","Cameroon",820,12,98,150,0.563,"CMR",25216237,32.5187298961379,11.9512195121951,29,4.7,25.933880952381
"28","Canada",24299,713,7123,13,0.922,"CAN",37058856,655.686727080836,29.3139635375941,10,10.5,-18.1877142857143
"29","Central African Republic",8,0,0,188,0.381,"CAF",4666377,1.7143921290543,0,51,4.3,27.0869761904762
"30","Chad",18,0,2,187,0.401,"TCD",15477751,1.16295965738175,11.1111111111111,63,4.5,25.2354523809524
"31","Chile",7213,80,2059,42,0.847,"CHL",18729160,385.121382913062,28.5456814085679,7,8.5,13.8155
