"","Country.Region","Total_confirmed","Total_deaths","Total_Recovered","HDI_Rank_2018","Year_2018","Country_Code","Population_2018","Cases_million","Recovered_percentage"
"1","Afghanistan",349,7,15,170,0.496,"AFG",37172386,9.38868976556953,4.29799426934097
"2","Albania",361,20,104,69,0.791,"ALB",2866376,125.943002592821,28.808864265928
"3","Algeria",1320,152,90,82,0.759,"DZA",42228429,31.2585628037453,6.81818181818182
"4","Andorra",501,18,26,36,0.857,"AND",77006,6505.98654650287,5.18962075848303
"5","Angola",14,2,2,149,0.574,"AGO",30809762,0.454401432896496,14.2857142857143
"6","Antigua and Barbuda",15,0,0,74,0.776,"ATG",96286,155.785887875704,0
"7","Argentina",1451,44,280,48,0.83,"ARG",44494502,32.6107706520684,19.2970365265334
"8","Armenia",822,7,57,81,0.76,"ARM",2951776,278.476415554568,6.93430656934307
"9","Australia",5687,35,757,6,0.938,"AUS",24992369,227.549457196315,13.3110603129945
"10","Austria",12051,204,2998,20,0.914,"AUT",8847037,1362.15096647612,24.8776035183802
"11","Azerbaijan",584,7,32,87,0.754,"AZE",9942334,58.7387227184281,5.47945205479452
"12","Bahamas",28,4,0,60,0.805,"BHS",385640,72.6065760813194,0
"13","Bahrain",700,4,431,45,0.838,"BHR",1569439,446.019246367651,61.5714285714286
"14","Bangladesh",88,9,33,135,0.614,"BGD",161356039,0.545377790291444,37.5
"15","Barbados",56,1,6,56,0.813,"BRB",286641,195.36632931088,10.7142857142857
"16","Belarus",562,8,52,50,0.817,"BLR",9485386,59.2490384682289,9.25266903914591
"17","Belgium",19691,1447,3751,17,0.919,"BEL",11422068,1723.9435100544,19.0493118683663
"18","Belize",5,0,0,103,0.72,"BLZ",383071,13.0524106497229,0
"19","Benin",22,0,5,163,0.52,"BEN",11485048,1.9155340056045,22.7272727272727
"20","Bhutan",5,0,2,134,0.617,"BTN",754394,6.62783638257992,40
"21","Bolivia",157,10,2,114,0.703,"BOL",11353142,13.8287709252646,1.27388535031847
"22","Bosnia and Herzegovina",654,23,30,75,0.769,"BIH",3323929,196.755105178239,4.58715596330275
"23","Botswana",6,1,0,94,0.728,"BWA",2254126,2.66178554348781,0
"24","Brazil",11130,486,127,79,0.761,"BRA",209469333,53.1342695400668,1.14106019766397
"25","Bulgaria",531,20,37,52,0.816,"BGR",7024216,75.5956251914804,6.96798493408663
"26","Burkina Faso",345,17,90,182,0.434,"BFA",19751535,17.466996868851,26.0869565217391
"27","Burundi",3,0,0,185,0.423,"BDI",11175378,0.268447295474032,0
"28","Cabo Verde",7,1,0,126,0.651,"CPV",543767,12.8731607471583,0
"29","Cambodia",114,0,50,146,0.581,"KHM",16249798,7.01547182309589,43.859649122807
"30","Cameroon",650,9,17,150,0.563,"CMR",25216237,25.7770419908411,2.61538461538462
"31","Canada",15756,259,0,13,0.922,"CAN",37058856,425.161532239419,0
"32","Central African Republic",8,0,0,188,0.381,"CAF",4666377,1.7143921290543,0
"33","Chad",9,0,0,187,0.401,"TCD",15477751,0.581479828690874,0
"34","Chile",4471,34,618,42,0.847,"CHL",18729160,238.718661167933,13.8224110937151
"35","China",82602,3333,77207,85,0.758,"CHN",1392730000,59.3094138849598,93.468681145735
"36","Colombia",1485,35,88,79,0.761,"COL",49648685,29.910157741338,5.92592592592593
"37","Costa Rica",454,2,16,68,0.794,"CRI",4999441,90.8101525750579,3.52422907488987
"38","Croatia",1182,15,125,46,0.837,"HRV",4089400,289.039956961901,10.575296108291
"39","Cuba",320,8,15,72,0.778,"CUB",11338138,28.2233290863103,4.6875
"40","Cyprus",446,9,37,31,0.873,"CYP",1189265,375.021546921838,8.29596412556054
"41","Czechia",4587,67,96,26,0.891,"CZE",10625695,431.689409492744,2.09287115761936
"42","Denmark",4561,179,1429,11,0.93,"DNK",5797446,786.725740955586,31.3308484981364
"43","Djibouti",59,0,9,171,0.495,"DJI",958920,61.5275518291411,15.2542372881356
"44","Dominica",14,0,0,98,0.724,"DMA",71625,195.462478184991,0
"45","Dominican Republic",1745,82,17,89,0.745,"DOM",10627165,164.201835578915,0.974212034383954
"46","Ecuador",3646,180,100,85,0.758,"ECU",17084357,213.411602204285,2.74273176083379
"47","Egypt",1173,78,247,116,0.7,"EGY",98423595,11.9178739610151,21.0571184995737
"48","El Salvador",62,3,2,124,0.667,"SLV",6420744,9.65620183579971,3.2258064516129
"49","Equatorial Guinea",16,0,1,144,0.588,"GNQ",1308974,12.2233138320547,6.25
"50","Estonia",1097,15,62,30,0.882,"EST",1320884,830.504419767368,5.6517775752051
"51","Eswatini",9,0,0,138,0.608,"SWZ",1136191,7.92120338921889,0
"52","Ethiopia",43,2,4,173,0.47,"ETH",109224559,0.393684354449991,9.30232558139535
"53","Fiji",12,0,0,98,0.724,"FJI",883483,13.5826043059119,0
"54","Finland",1927,28,300,12,0.925,"FIN",5518050,349.217567800219,15.5682407887909
"55","France",93773,8093,16349,26,0.891,"FRA",66987244,1399.86353222712,17.4346560310537
"56","Gabon",21,1,1,115,0.702,"GAB",2119275,9.90904908518243,4.76190476190476
"57","Gambia",4,1,2,174,0.466,"GMB",2280102,1.75430748273542,50
"58","Georgia",174,2,36,70,0.786,"GEO",3731000,46.6362905387296,20.6896551724138
"59","Germany",100123,1584,28700,4,0.939,"DEU",82927922,1207.34967891755,28.6647423668887
"60","Ghana",214,5,31,142,0.596,"GHA",29767108,7.18914313073343,14.4859813084112
"61","Greece",1735,73,78,32,0.872,"GRC",10727668,161.73132874731,4.49567723342939
"62","Grenada",12,0,0,78,0.763,"GRD",111454,107.667737362499,0
"63","Guatemala",61,2,15,126,0.651,"GTM",17247807,3.53668150391525,24.5901639344262
"64","Guinea",121,0,5,174,0.466,"GIN",12414318,9.74681009460206,4.13223140495868
"65","Guinea-Bissau",18,0,0,178,0.461,"GNB",1874309,9.60353922432214,0
"66","Guyana",24,4,0,123,0.67,"GUY",779004,30.8085709444367,0
"67","Haiti",21,1,1,169,0.503,"HTI",11123176,1.88794998838461,4.76190476190476
"68","Honduras",268,22,6,132,0.623,"HND",9587522,27.9529997427907,2.23880597014925
"69","Hungary",733,34,66,43,0.845,"HUN",9768785,75.0349199004789,9.00409276944066
"70","Iceland",1486,4,428,6,0.938,"ISL",353574,4202.7977170267,28.8021534320323
"71","India",3588,99,229,129,0.647,"IND",1352617328,2.65263495130975,6.38238573021182
"72","Indonesia",2273,198,164,111,0.707,"IDN",267663435,8.49200788295943,7.21513418389793
"73","Iran",58226,3603,19736,65,0.797,"IRN",81800269,711.806950170298,33.8955105966407
"74","Iraq",961,61,279,120,0.689,"IRQ",38433600,25.0041630240206,29.0322580645161
"75","Ireland",4994,158,25,3,0.942,"IRL",4853506,1028.94690971846,0.500600720865038
"76","Israel",8430,49,477,22,0.906,"ISR",8883800,948.918255701389,5.65836298932384
"77","Italy",128948,15887,21815,29,0.883,"ITA",60431283,2133.7955045568,16.9176722399727
"78","Jamaica",58,3,8,96,0.726,"JAM",2934855,19.7624754885676,13.7931034482759
"79","Japan",3139,77,514,19,0.915,"JPN",126529100,24.8085223083069,16.3746416056069
"80","Jordan",345,5,110,102,0.723,"JOR",9956011,34.6524325857012,31.8840579710145
"81","Kazakhstan",584,6,42,50,0.817,"KAZ",18276499,31.9536033679098,7.19178082191781
"82","Kenya",142,4,4,147,0.579,"KEN",51393010,2.76302166384106,2.8169014084507
"83","Kuwait",556,1,99,57,0.808,"KWT",4137309,134.386868372655,17.8057553956835
"84","Latvia",533,1,1,39,0.854,"LVA",1926542,276.661500242403,0.187617260787992
"85","Lebanon",527,18,54,93,0.73,"LBN",6848925,76.9463820964604,10.246679316888
"86","Liberia",13,3,3,176,0.465,"LBR",4818977,2.69766799052994,23.0769230769231
"87","Libya",18,1,0,110,0.708,"LBY",6678567,2.69518895295952,0
"88","Liechtenstein",77,1,0,18,0.917,"LIE",37910,2031.12635188605,0
"89","Lithuania",811,13,7,34,0.869,"LTU",2789533,290.729666937082,0.863131935881628
"90","Luxembourg",2804,36,500,21,0.909,"LUX",607728,4613.90622120422,17.8316690442225
"91","Madagascar",72,0,2,162,0.521,"MDG",26262368,2.74156542167104,2.77777777777778
"92","Malawi",4,0,0,172,0.485,"MWI",18143315,0.220466877194162,0
"93","Malaysia",3662,61,1005,61,0.804,"MYS",31528585,116.148568037544,27.4440196613872
"94","Maldives",19,0,13,104,0.719,"MDV",515696,36.8434116223512,68.4210526315789
"95","Mali",45,5,1,184,0.427,"MLI",19077690,2.35877614113658,2.22222222222222
"96","Malta",227,0,5,28,0.885,"MLT",483530,469.464149070378,2.20264317180617
"97","Mauritania",6,1,2,161,0.527,"MRT",4403319,1.36260852325257,33.3333333333333
"98","Mauritius",227,7,7,66,0.796,"MUS",1265303,179.403668528408,3.08370044052863
"99","Mexico",1890,79,633,76,0.767,"MEX",126190788,14.9773214824524,33.4920634920635
"100","Moldova",864,15,30,107,0.711,"MDA",3545883,243.662861972603,3.47222222222222
"101","Mongolia",14,0,2,92,0.735,"MNG",3170208,4.41611402154054,14.2857142857143
"102","Montenegro",214,2,1,52,0.816,"MNE",622345,343.860720340004,0.467289719626168
"103","Morocco",1021,70,76,121,0.676,"MAR",36029138,28.3381745075333,7.44368266405485
"104","Mozambique",10,0,0,180,0.446,"MOZ",29495962,0.339029457659323,0
"105","Namibia",16,0,3,130,0.645,"NAM",2448255,6.53526695544378,18.75
"106","Nepal",9,0,1,147,0.579,"NPL",28087871,0.320423003936468,11.1111111111111
"107","Netherlands",17951,1771,257,10,0.934,"NLD",17231017,1041.78412684521,1.43167511559245
"108","New Zealand",1039,1,156,14,0.921,"NZL",4885500,212.670146351448,15.0144369586141
"109","Nicaragua",6,1,0,126,0.651,"NIC",6465513,0.928000608768399,0
"110","Niger",184,10,13,189,0.377,"NER",22442948,8.19856642719129,7.06521739130435
"111","Nigeria",232,5,33,158,0.534,"NGA",195874740,1.18443041711249,14.2241379310345
"112","North Macedonia",555,18,23,82,0.759,"MKD",2082958,266.44800327227,4.14414414414414
"113","Norway",5687,71,32,1,0.954,"NOR",5314336,1070.12428269496,0.562686829611394
"114","Oman",298,2,61,47,0.834,"OMN",4829483,61.7043273576074,20.4697986577181
"115","Pakistan",3157,47,211,152,0.56,"PAK",212215030,14.8764203930325,6.68356034209693
"116","Panama",1801,46,13,67,0.795,"PAN",4176873,431.183806641954,0.721821210438645
"117","Papua New Guinea",1,0,0,155,0.543,"PNG",8606316,0.116193734926768,0
"118","Paraguay",104,3,12,98,0.724,"PRY",6956071,14.9509687293301,11.5384615384615
"119","Peru",2281,83,989,82,0.759,"PER",31989256,71.3051907177835,43.3581762384919
"120","Philippines",3246,152,64,106,0.712,"PHL",106651922,30.4354571312836,1.97165742452249
"121","Poland",4102,94,134,32,0.872,"POL",37978548,108.008341972421,3.26669917113603
"122","Portugal",11278,295,75,40,0.85,"PRT",10281762,1096.89370362784,0.665011526866466
"123","Qatar",1604,4,123,41,0.848,"QAT",2781677,576.630572133285,7.66832917705736
"124","Romania",3864,151,374,52,0.816,"ROU",19473936,198.419056116853,9.67908902691511
"125","Rwanda",104,0,4,157,0.536,"RWA",12301939,8.45395185263071,3.84615384615385
"126","Saudi Arabia",2402,34,488,36,0.857,"SAU",33699947,71.276076487598,20.3164029975021
"127","Senegal",222,2,82,166,0.514,"SEN",15854360,14.002457368194,36.9369369369369
"128","Serbia",1908,51,0,63,0.799,"SRB",6982084,273.270845781861,0
"129","Seychelles",10,0,0,62,0.801,"SYC",96762,103.34635497406,0
"130","Sierra Leone",6,0,0,181,0.438,"SLE",7650154,0.78429793700885,0
"131","Singapore",1309,6,320,9,0.935,"SGP",5638676,232.14669542992,24.4461420932009
"132","Slovenia",997,28,79,24,0.902,"SVN",2067372,482.254765954071,7.92377131394183
"133","South Africa",1655,11,95,113,0.705,"ZAF",57779622,28.6433164966015,5.74018126888217
"134","South Korea",10237,183,6463,22,0.906,"KOR",51635256,198.256013294482,63.1337305851324
"135","South Sudan",1,0,0,186,0.413,"SSD",10975920,0.0911085357764998,0
"136","Spain",131646,12641,38080,25,0.893,"ESP",46723749,2817.53932031439,28.9260592801908
"137","Sri Lanka",176,5,33,71,0.78,"LKA",21670000,8.12182741116751,18.75
"138","Sudan",12,2,2,168,0.508,"SDN",41801533,0.287070811493923,16.6666666666667
"139","Suriname",10,1,0,98,0.724,"SUR",575991,17.3613823827108,0
"140","Sweden",6830,401,205,8,0.937,"SWE",10183175,670.714192773865,3.00146412884334
"141","Switzerland",21100,715,6415,2,0.946,"CHE",8516543,2477.53108274097,30.4028436018957
"142","Tanzania",22,1,3,159,0.528,"TZA",56318348,0.390636458299523,13.6363636363636
"143","Thailand",2169,23,793,77,0.765,"THA",69428524,31.2407620821667,36.5606270170586
"144","Timor-Leste",1,0,0,131,0.626,"TLS",1267972,0.788660948349017,0
